"","year","parent_entity","parent_type","commodity","production_value","production_unit","total_emissions_MtCO2e"
"2227",1975,"China (Coal)","Nation State","Anthracite Coal",61.2474140654631,"Million tonnes/yr",178.700797323666
"2228",1975,"China (Coal)","Nation State","Metallurgical Coal",86.4280103241076,"Million tonnes/yr",256.398811258987
"2229",1976,"China (Coal)","Nation State","Lignite Coal",29.3055119539789,"Million tonnes/yr",39.2462380896282
"2230",1976,"China (Coal)","Nation State","Bituminous Coal",350.530230048249,"Million tonnes/yr",951.387777253233
"2231",1976,"China (Coal)","Nation State","Anthracite Coal",62.9922643062407,"Million tonnes/yr",183.79172457333
"2232",1976,"China (Coal)","Nation State","Metallurgical Coal",88.8902193330682,"Million tonnes/yr",263.703242549274
"2233",1977,"China (Coal)","Nation State","Lignite Coal",30.3125572050323,"Million tonnes/yr",40.5948832780124
"2234",1977,"China (Coal)","Nation State","Bituminous Coal",362.575738986673,"Million tonnes/yr",984.080963154013
"2235",1977,"China (Coal)","Nation State","Anthracite Coal",65.156910364943,"Million tonnes/yr",190.107484716284
"2236",1977,"China (Coal)","Nation State","Metallurgical Coal",91.9448144076543,"Million tonnes/yr",272.76505645734
"2237",1978,"China (Coal)","Nation State","Lignite Coal",34.0602895472972,"Million tonnes/yr",45.6138843461975
"2238",1978,"China (Coal)","Nation State","Bituminous Coal",407.403260904944,"Million tonnes/yr",1105.74908984233
"2239",1978,"China (Coal)","Nation State","Anthracite Coal",73.2126695338523,"Million tonnes/yr",213.611670296966
"2240",1978,"China (Coal)","Nation State","Metallurgical Coal",103.312530911932,"Million tonnes/yr",306.488718352319
"2241",1979,"China (Coal)","Nation State","Lignite Coal",34.9138855286092,"Million tonnes/yr",46.7570287201134
"2242",1979,"China (Coal)","Nation State","Bituminous Coal",417.613326406526,"Million tonnes/yr",1133.46062708071
"2243",1979,"China (Coal)","Nation State","Anthracite Coal",75.04747602068,"Million tonnes/yr",218.965061736159
"2244",1979,"China (Coal)","Nation State","Metallurgical Coal",105.901679783026,"Million tonnes/yr",314.169731605217
"2245",1980,"China (Coal)","Nation State","Lignite Coal",34.1792054731427,"Million tonnes/yr",45.7731377571499
"2246",1980,"China (Coal)","Nation State","Bituminous Coal",408.825642615539,"Million tonnes/yr",1109.60963155328
"2247",1980,"China (Coal)","Nation State","Anthracite Coal",73.4682795636905,"Million tonnes/yr",214.357460414524
"2248",1980,"China (Coal)","Nation State","Metallurgical Coal",103.673229657797,"Million tonnes/yr",307.558773411038
"2249",1981,"China (Coal)","Nation State","Lignite Coal",34.2613272776695,"Million tonnes/yr",45.8831161085901
"2250",1981,"China (Coal)","Nation State","Bituminous Coal",409.807921161985,"Million tonnes/yr",1112.27567209083
"2251",1981,"China (Coal)","Nation State","Anthracite Coal",73.6448005738798,"Million tonnes/yr",214.87249351015
"2252",1981,"China (Coal)","Nation State","Metallurgical Coal",103.922323629699,"Million tonnes/yr",308.297739841574
"2253",1982,"China (Coal)","Nation State","Lignite Coal",36.724430274974,"Million tonnes/yr",49.1817285615407
"2254",1982,"China (Coal)","Nation State","Bituminous Coal",439.269684613684,"Million tonnes/yr",1192.23899405714
"2255",1982,"China (Coal)","Nation State","Anthracite Coal",78.9392460388344,"Million tonnes/yr",230.320029384282
"2256",1982,"China (Coal)","Nation State","Metallurgical Coal",111.39346983031,"Million tonnes/yr",330.461769736455
"2257",1983,"China (Coal)","Nation State","Lignite Coal",39.3815391404584,"Million tonnes/yr",52.7401556358954
"2258",1983,"China (Coal)","Nation State","Bituminous Coal",471.051998698043,"Million tonnes/yr",1278.50061305793
"2259",1983,"China (Coal)","Nation State","Anthracite Coal",84.6507075749761,"Million tonnes/yr",246.98428772017
"2260",1983,"China (Coal)","Nation State","Metallurgical Coal",119.45307957542,"Million tonnes/yr",354.371545630963
"2261",1984,"China (Coal)","Nation State","Lignite Coal",43.4986524542929,"Million tonnes/yr",58.2538354381959
"2262",1984,"China (Coal)","Nation State","Bituminous Coal",520.297774602553,"Million tonnes/yr",1412.16049531817
"2263",1984,"China (Coal)","Nation State","Anthracite Coal",93.5004519233178,"Million tonnes/yr",272.805073712358
"2264",1984,"China (Coal)","Nation State","Metallurgical Coal",131.941211716767,"Million tonnes/yr",391.419051686918
"2265",1985,"China (Coal)","Nation State","Lignite Coal",48.0759785620199,"Million tonnes/yr",64.3838368700027
"2266",1985,"China (Coal)","Nation State","Bituminous Coal",575.048265805575,"Million tonnes/yr",1560.76094019847
"2267",1985,"China (Coal)","Nation State","Anthracite Coal",103.339424813195,"Million tonnes/yr",301.512119178601
"2268",1985,"China (Coal)","Nation State","Metallurgical Coal",145.825272931158,"Million tonnes/yr",432.607744767637
"2269",1986,"China (Coal)","Nation State","Lignite Coal",49.2752876057253,"Million tonnes/yr",65.9899636746196
"2270",1986,"China (Coal)","Nation State","Bituminous Coal",589.39348784066,"Million tonnes/yr",1599.69586716407
"2271",1986,"China (Coal)","Nation State","Anthracite Coal",105.917342301284,"Million tonnes/yr",309.033676089781
"2272",1986,"China (Coal)","Nation State","Metallurgical Coal",149.463047479163,"Million tonnes/yr",443.399628859832
"2273",1987,"China (Coal)","Nation State","Lignite Coal",51.1519637544199,"Million tonnes/yr",68.5032273590916
"2274",1987,"China (Coal)","Nation State","Bituminous Coal",611.840859671184,"Million tonnes/yr",1660.62115508597
"2275",1987,"China (Coal)","Nation State","Anthracite Coal",109.951261979024,"Million tonnes/yr",320.803391983115
"2276",1987,"China (Coal)","Nation State","Metallurgical Coal",155.155429010888,"Million tonnes/yr",460.286745114084
"2277",1988,"China (Coal)","Nation State","Lignite Coal",54.0058342712981,"Million tonnes/yr",72.3251596276103
"2278",1988,"China (Coal)","Nation State","Bituminous Coal",645.97668664716,"Million tonnes/yr",1753.27053527468
"2279",1988,"China (Coal)","Nation State","Anthracite Coal",116.08566308236,"Million tonnes/yr",338.701655689361
"2280",1988,"China (Coal)","Nation State","Metallurgical Coal",163.811861095295,"Million tonnes/yr",485.967064351595
"2281",1989,"China (Coal)","Nation State","Lignite Coal",58.0997991512877,"Million tonnes/yr",77.8078388131153
"2282",1989,"China (Coal)","Nation State","Bituminous Coal",694.945578778124,"Million tonnes/yr",1886.1789164794
"2283",1989,"China (Coal)","Nation State","Anthracite Coal",124.885649817485,"Million tonnes/yr",364.37726452933
"2284",1989,"China (Coal)","Nation State","Metallurgical Coal",176.229778870466,"Million tonnes/yr",522.806271269882
"2285",1990,"China (Coal)","Nation State","Lignite Coal",59.4859490812488,"Million tonnes/yr",79.6641848228559
"2286",1990,"China (Coal)","Nation State","Bituminous Coal",711.525649282288,"Million tonnes/yr",1931.17953289267
"2287",1990,"China (Coal)","Nation State","Anthracite Coal",127.865182270812,"Million tonnes/yr",373.070608292255
"2288",1990,"China (Coal)","Nation State","Metallurgical Coal",180.434283860629,"Million tonnes/yr",535.279427569185
"2289",1991,"China (Coal)","Nation State","Lignite Coal",59.7604233021711,"Million tonnes/yr",80.0317634763426
"2290",1991,"China (Coal)","Nation State","Bituminous Coal",714.808700997159,"Million tonnes/yr",1940.09019167719
"2291",1991,"China (Coal)","Nation State","Anthracite Coal",128.455165274542,"Million tonnes/yr",374.791994162707
"2292",1991,"China (Coal)","Nation State","Metallurgical Coal",181.266825955002,"Million tonnes/yr",537.749261162713
"2293",1992,"China (Coal)","Nation State","Lignite Coal",61.4287635916215,"Million tonnes/yr",82.2660216704022
"2294",1992,"China (Coal)","Nation State","Bituminous Coal",734.764117777136,"Million tonnes/yr",1994.25196714475
"2295",1992,"China (Coal)","Nation State","Anthracite Coal",132.041266505905,"Million tonnes/yr",385.255115897821
"2296",1992,"China (Coal)","Nation State","Metallurgical Coal",186.327277918983,"Million tonnes/yr",552.761684370563
"2297",1993,"China (Coal)","Nation State","Lignite Coal",63.45866028909,"Million tonnes/yr",84.9844798639088
"2298",1993,"China (Coal)","Nation State","Bituminous Coal",759.044197211138,"Million tonnes/yr",2060.15147829695
"2299",1993,"China (Coal)","Nation State","Anthracite Coal",136.404533984125,"Million tonnes/yr",397.9857656598
"2300",1993,"China (Coal)","Nation State","Metallurgical Coal",192.484411852448,"Million tonnes/yr",571.027543035859
"2301",1994,"China (Coal)","Nation State","Lignite Coal",67.7653702542501,"Million tonnes/yr",90.7520694197943
"2302",1994,"China (Coal)","Nation State","Bituminous Coal",810.55778402512,"Million tonnes/yr",2199.96651465073
"2303",1994,"China (Coal)","Nation State","Anthracite Coal",145.661816802784,"Million tonnes/yr",424.995621438805
"2304",1994,"China (Coal)","Nation State","Metallurgical Coal",205.54763332147,"Million tonnes/yr",609.78111891143
"2305",1995,"China (Coal)","Nation State","Lignite Coal",71.2194464450877,"Million tonnes/yr",95.3778031990988
"2306",1995,"China (Coal)","Nation State","Bituminous Coal",851.872814461357,"Million tonnes/yr",2312.10125112829
"2307",1995,"China (Coal)","Nation State","Anthracite Coal",153.086361445528,"Million tonnes/yr",446.658120462933
"2308",1995,"China (Coal)","Nation State","Metallurgical Coal",216.024624502342,"Million tonnes/yr",640.862339852104
"2309",1996,"China (Coal)","Nation State","Lignite Coal",75.2301320952296,"Million tonnes/yr",100.748953997464
"2310",1996,"China (Coal)","Nation State","Bituminous Coal",899.845583902557,"Million tonnes/yr",2442.3060168658
"2311",1996,"China (Coal)","Nation State","Anthracite Coal",161.707339299782,"Million tonnes/yr",471.811437378782
"2312",1996,"China (Coal)","Nation State","Metallurgical Coal",228.18993755555,"Million tonnes/yr",676.952165288778
"2313",1997,"China (Coal)","Nation State","Lignite Coal",73.0421095875256,"Million tonnes/yr",97.8187321191477
"2314",1997,"China (Coal)","Nation State","Bituminous Coal",873.674123911688,"Million tonnes/yr",2371.27303593072
"2315",1997,"China (Coal)","Nation State","Anthracite Coal",157.004179977379,"Million tonnes/yr",458.089089526587
"2316",1997,"China (Coal)","Nation State","Metallurgical Coal",221.553172422269,"Million tonnes/yr",657.263424516001
"2317",1998,"China (Coal)","Nation State","Lignite Coal",71.8055425942688,"Million tonnes/yr",96.1627090915567
"2318",1998,"China (Coal)","Nation State","Bituminous Coal",858.883250716691,"Million tonnes/yr",2331.12854975991
"2319",1998,"China (Coal)","Nation State","Anthracite Coal",154.346176400884,"Million tonnes/yr",450.333866458702
"2320",1998,"China (Coal)","Nation State","Metallurgical Coal",217.802386177541,"Million tonnes/yr",646.136277994537
"2321",1999,"China (Coal)","Nation State","Lignite Coal",70.7870668711439,"Million tonnes/yr",94.7987560993334
"2322",1999,"China (Coal)","Nation State","Bituminous Coal",846.701019130418,"Million tonnes/yr",2298.06427958483
"2323",1999,"China (Coal)","Nation State","Anthracite Coal",152.15696051576,"Million tonnes/yr",443.946419247183
"2324",1999,"China (Coal)","Nation State","Metallurgical Coal",214.713119900851,"Million tonnes/yr",636.971607906271
"2325",2000,"China (Coal)","Nation State","Lignite Coal",76.2896573126533,"Million tonnes/yr",102.167880887746
"2326",2000,"China (Coal)","Nation State","Bituminous Coal",912.518817821118,"Million tonnes/yr",2476.70293563292
"2327",2000,"China (Coal)","Nation State","Anthracite Coal",163.98479114133,"Million tonnes/yr",478.456329512773
"2328",2000,"China (Coal)","Nation State","Metallurgical Coal",231.403716208739,"Million tonnes/yr",686.486215919323
"2329",2001,"China (Coal)","Nation State","Lignite Coal",81.1035323689167,"Million tonnes/yr",108.614671064574
"2330",2001,"China (Coal)","Nation State","Bituminous Coal",970.09872763269,"Million tonnes/yr",2632.98281598028
"2331",2001,"China (Coal)","Nation State","Anthracite Coal",174.332226491378,"Million tonnes/yr",508.646909401295
"2332",2001,"China (Coal)","Nation State","Metallurgical Coal",246.005283689527,"Million tonnes/yr",729.803475341962
"2333",2002,"China (Coal)","Nation State","Lignite Coal",85.4506805882743,"Million tonnes/yr",114.436415939591
"2334",2002,"China (Coal)","Nation State","Bituminous Coal",1022.09600597467,"Million tonnes/yr",2774.11065838687
"2335",2002,"China (Coal)","Nation State","Anthracite Coal",183.676431468112,"Million tonnes/yr",535.910376850114
"2336",2002,"China (Coal)","Nation State","Metallurgical Coal",259.191163502671,"Million tonnes/yr",768.9209315557
"2337",2003,"China (Coal)","Nation State","Lignite Coal",101.130877440407,"Million tonnes/yr",135.43549419891
"2338",2003,"China (Coal)","Nation State","Bituminous Coal",1209.65058719332,"Million tonnes/yr",3283.15986682378
"2339",2003,"China (Coal)","Nation State","Anthracite Coal",217.381050084814,"Million tonnes/yr",634.249911868801
"2340",2003,"China (Coal)","Nation State","Metallurgical Coal",306.752732838986,"Million tonnes/yr",910.017895302901
"2341",2004,"China (Coal)","Nation State","Lignite Coal",116.988198096854,"Million tonnes/yr",156.671778448911
"2342",2004,"China (Coal)","Nation State","Bituminous Coal",1399.32378845583,"Million tonnes/yr",3797.95930460353
"2343",2004,"China (Coal)","Nation State","Anthracite Coal",251.466396794975,"Million tonnes/yr",733.700292380363
"2344",2004,"China (Coal)","Nation State","Metallurgical Coal",354.851558610155,"Million tonnes/yr",1052.70869316385
"2345",2005,"China (Coal)","Nation State","Lignite Coal",130.355583207317,"Million tonnes/yr",174.573515825309
"2346",2005,"China (Coal)","Nation State","Bituminous Coal",1559.21427518167,"Million tonnes/yr",4231.92431455174
"2347",2005,"China (Coal)","Nation State","Anthracite Coal",280.199621412604,"Million tonnes/yr",817.53485465857
"2348",2005,"China (Coal)","Nation State","Metallurgical Coal",395.397848908126,"Million tonnes/yr",1172.99401032406
"2349",2006,"China (Coal)","Nation State","Lignite Coal",141.631345097279,"Million tonnes/yr",189.674130224073
"2350",2006,"China (Coal)","Nation State","Bituminous Coal",1694.08635719345,"Million tonnes/yr",4597.98589589107
"2351",2006,"China (Coal)","Nation State","Anthracite Coal",304.436897074982,"Million tonnes/yr",888.251644124833
"2352",2006,"China (Coal)","Nation State","Metallurgical Coal",429.599774764697,"Million tonnes/yr",1274.45802759702
"2353",2007,"China (Coal)","Nation State","Lignite Coal",152.112064210456,"Million tonnes/yr",203.710015292799
"2354",2007,"China (Coal)","Nation State","Bituminous Coal",1819.44874181246,"Million tonnes/yr",4938.2368364089
"2355",2007,"China (Coal)","Nation State","Anthracite Coal",326.965226444469,"Million tonnes/yr",953.982262831357
"2356",2007,"China (Coal)","Nation State","Metallurgical Coal",461.390156616018,"Million tonnes/yr",1368.76791724485
"2357",2008,"China (Coal)","Nation State","Lignite Coal",160.021888877894,"Million tonnes/yr",214.302932510318
"2358",2008,"China (Coal)","Nation State","Bituminous Coal",1914.06004489619,"Million tonnes/yr",5195.02506643252
"2359",2008,"China (Coal)","Nation State","Anthracite Coal",343.967412593164,"Million tonnes/yr",1003.58932408246
"2360",2008,"China (Coal)","Nation State","Metallurgical Coal",485.382436736827,"Million tonnes/yr",1439.94382513975
"2361",2009,"China (Coal)","Nation State","Lignite Coal",171.703486271741,"Million tonnes/yr",229.947045921681
"2362",2009,"China (Coal)","Nation State","Bituminous Coal",2053.78642221063,"Million tonnes/yr",5574.26188009772
"2363",2009,"China (Coal)","Nation State","Anthracite Coal",369.07703267019,"Million tonnes/yr",1076.85134169945
"2364",2009,"China (Coal)","Nation State","Metallurgical Coal",520.815353183072,"Million tonnes/yr",1545.05972011624
"2365",2010,"China (Coal)","Nation State","Lignite Coal",188.959686831156,"Million tonnes/yr",253.056724290061
"2366",2010,"China (Coal)","Nation State","Bituminous Coal",2260.19195950481,"Million tonnes/yr",6134.47520410131
"2367",2010,"China (Coal)","Nation State","Anthracite Coal",406.169274800546,"Million tonnes/yr",1185.07490255269
"2368",2010,"China (Coal)","Nation State","Metallurgical Coal",573.157296661187,"Million tonnes/yr",1700.33822342144
"2369",2011,"China (Coal)","Nation State","Lignite Coal",207.477739722211,"Million tonnes/yr",277.856288067004
"2370",2011,"China (Coal)","Nation State","Bituminous Coal",2481.69081450281,"Million tonnes/yr",6735.65389072036
"2371",2011,"China (Coal)","Nation State","Anthracite Coal",445.973871316411,"Million tonnes/yr",1301.21226513471
"2372",2011,"China (Coal)","Nation State","Metallurgical Coal",629.326722560618,"Million tonnes/yr",1866.97140143522
"2373",2012,"China (Coal)","Nation State","Lignite Coal",217.436671781903,"Million tonnes/yr",291.193390634838
"2374",2012,"China (Coal)","Nation State","Bituminous Coal",2600.8119801888,"Million tonnes/yr",7058.96529536072
"2375",2012,"China (Coal)","Nation State","Anthracite Coal",467.38061841838,"Million tonnes/yr",1363.67045759226
"2376",2012,"China (Coal)","Nation State","Metallurgical Coal",659.534406955585,"Million tonnes/yr",1956.58603378313
"2377",2013,"China (Coal)","Nation State","Lignite Coal",219.045700453388,"Million tonnes/yr",293.34821811007
"2378",2013,"China (Coal)","Nation State","Bituminous Coal",2620.05795756215,"Million tonnes/yr",7111.20155364799
"2379",2013,"China (Coal)","Nation State","Anthracite Coal",470.839229318218,"Million tonnes/yr",1373.76160241631
"2380",2013,"China (Coal)","Nation State","Metallurgical Coal",664.414953549584,"Million tonnes/yr",1971.06474664835
"2381",2014,"China (Coal)","Nation State","Lignite Coal",213.511965288888,"Million tonnes/yr",285.937383993539
"2382",2014,"China (Coal)","Nation State","Bituminous Coal",2553.86762909017,"Million tonnes/yr",6931.55179998209
"2383",2014,"China (Coal)","Nation State","Anthracite Coal",458.944453037173,"Million tonnes/yr",1339.05636566726
"2384",2014,"China (Coal)","Nation State","Metallurgical Coal",647.629888227455,"Million tonnes/yr",1921.26988524452
"2385",2015,"China (Coal)","Nation State","Lignite Coal",206.491551713942,"Million tonnes/yr",276.535575109167
"2386",2015,"China (Coal)","Nation State","Bituminous Coal",2469.89278465582,"Million tonnes/yr",6703.63239747983
"2387",2015,"China (Coal)","Nation State","Anthracite Coal",443.854058130992,"Million tonnes/yr",1295.0273132932
"2388",2015,"China (Coal)","Nation State","Metallurgical Coal",626.335392321479,"Million tonnes/yr",1858.09727006829
"2389",2016,"China (Coal)","Nation State","Lignite Coal",185.406886967865,"Million tonnes/yr",248.29877876983
"2390",2016,"China (Coal)","Nation State","Bituminous Coal",2279.66941377762,"Million tonnes/yr",6187.33972287508
"2391",2016,"China (Coal)","Nation State","Anthracite Coal",398.532523419695,"Million tonnes/yr",1162.79325064062
"2392",2016,"China (Coal)","Nation State","Metallurgical Coal",547.021933103104,"Million tonnes/yr",1622.80460760656
"2393",2017,"China (Coal)","Nation State","Lignite Coal",194.201956076474,"Million tonnes/yr",260.077224298891
"2394",2017,"China (Coal)","Nation State","Bituminous Coal",2396.84063037139,"Million tonnes/yr",6505.35869458504
"2395",2017,"China (Coal)","Nation State","Anthracite Coal",417.43754444742,"Million tonnes/yr",1217.9521889015
"2396",2017,"China (Coal)","Nation State","Metallurgical Coal",515.111645334257,"Million tonnes/yr",1528.1390030163
"2397",2018,"China (Coal)","Nation State","Lignite Coal",203.801597490522,"Million tonnes/yr",272.933161199172
"2398",2018,"China (Coal)","Nation State","Bituminous Coal",2572.19839196136,"Million tonnes/yr",6981.30403887167
"2399",2018,"China (Coal)","Nation State","Anthracite Coal",438.071995301362,"Million tonnes/yr",1278.15706246553
"2400",2018,"China (Coal)","Nation State","Metallurgical Coal",483.701362074479,"Million tonnes/yr",1434.95672034065
"2401",2019,"China (Coal)","Nation State","Lignite Coal",213.991677319688,"Million tonnes/yr",286.579819198385
"2402",2019,"China (Coal)","Nation State","Bituminous Coal",2669.84788230793,"Million tonnes/yr",7246.3383315144
"2403",2019,"China (Coal)","Nation State","Anthracite Coal",459.975595048286,"Million tonnes/yr",1342.06491553587
"2404",2019,"China (Coal)","Nation State","Metallurgical Coal",502.549532066526,"Million tonnes/yr",1490.87202328753
"2405",2020,"China (Coal)","Nation State","Lignite Coal",213.847637592338,"Million tonnes/yr",286.386919738282
"2406",2020,"China (Coal)","Nation State","Bituminous Coal",2725.88740483051,"Million tonnes/yr",7398.43738660519
"2407",2020,"China (Coal)","Nation State","Anthracite Coal",459.66598125745,"Million tonnes/yr",1341.16155933498
"2408",2020,"China (Coal)","Nation State","Metallurgical Coal",502.211261287301,"Million tonnes/yr",1489.86850341762
"2409",2021,"China (Coal)","Nation State","Lignite Coal",226.148383097663,"Million tonnes/yr",302.860202564395
"2410",2021,"China (Coal)","Nation State","Bituminous Coal",2882.68337208209,"Million tonnes/yr",7824.00344048081
"2411",2021,"China (Coal)","Nation State","Anthracite Coal",486.106461554992,"Million tonnes/yr",1418.30661080999
"2412",2021,"China (Coal)","Nation State","Metallurgical Coal",531.098991838739,"Million tonnes/yr",1575.56733815398
"2413",2022,"China (Coal)","Nation State","Lignite Coal",249.9339135,"Million tonnes/yr",334.714025514976
"2414",2022,"China (Coal)","Nation State","Bituminous Coal",3185.874366,"Million tonnes/yr",8646.90594947998
"2415",2022,"China (Coal)","Nation State","Anthracite Coal",537.2335131,"Million tonnes/yr",1567.47935573822
"2416",2022,"China (Coal)","Nation State","Metallurgical Coal",586.9582072,"Million tonnes/yr",1741.28024028812
"2417",2009,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",82.553812159,"Million tonnes/yr",166.683613214846
"2418",2010,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",85.0032109813,"Million tonnes/yr",171.629170969572
"2419",2011,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",86.7268620044,"Million tonnes/yr",175.109378278454
"2420",2012,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",82.1909382594,"Million tonnes/yr",165.950937991924
"2421",2013,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",78.017888414,"Million tonnes/yr",157.525172928316
"2422",2014,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",77.9271699391,"Million tonnes/yr",157.342004122586
"2423",2015,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",68.1295746499,"Million tonnes/yr",137.559773103681
"2424",2016,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",53.3424632412,"Million tonnes/yr",107.703257769593
"2425",2017,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",52.4352784922,"Million tonnes/yr",105.871569712287
"2426",2018,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",45.0870820253,"Million tonnes/yr",91.0348964481083
"2427",2019,"Cloud Peak","Investor-owned Company","Sub-Bituminous Coal",19.6859090533,"Million tonnes/yr",39.7476308435402
"2428",1987,"CNOOC","State-owned Entity","Oil & NGL",8.7,"Million bbl/yr",3.46936770281296
"2429",1987,"CNOOC","State-owned Entity","Natural Gas",56.5,"Bcf/yr",4.11830705544417
"2430",1988,"CNOOC","State-owned Entity","Oil & NGL",9.4,"Million bbl/yr",3.74851223062549
"2431",1988,"CNOOC","State-owned Entity","Natural Gas",74.5,"Bcf/yr",5.43033408195736
"2432",1989,"CNOOC","State-owned Entity","Oil & NGL",8.27,"Million bbl/yr",3.29789320715668
"2433",1989,"CNOOC","State-owned Entity","Natural Gas",77.5,"Bcf/yr",5.64900525304289
"2434",1990,"CNOOC","State-owned Entity","Oil & NGL",27.51714286,"Million bbl/yr",10.9732283577212
"2435",1990,"CNOOC","State-owned Entity","Natural Gas",75.6,"Bcf/yr",5.51051351135539
"2436",1991,"CNOOC","State-owned Entity","Oil & NGL",43.66428571,"Million bbl/yr",17.4123520239852
"2437",1991,"CNOOC","State-owned Entity","Natural Gas",73,"Bcf/yr",5.32099849641459
"2438",1992,"CNOOC","State-owned Entity","Oil & NGL",60.11142857,"Million bbl/yr",23.9711090632995
"2439",1992,"CNOOC","State-owned Entity","Natural Gas",71.2,"Bcf/yr",5.18979579376328
"2440",1993,"CNOOC","State-owned Entity","Oil & NGL",82.95857143,"Million bbl/yr",33.0820446426142
"2441",1993,"CNOOC","State-owned Entity","Natural Gas",82.49,"Bcf/yr",6.01272830094849
"2442",1994,"CNOOC","State-owned Entity","Oil & NGL",120.40571429,"Million bbl/yr",48.0151375163047
"2443",1994,"CNOOC","State-owned Entity","Natural Gas",87.965,"Bcf/yr",6.41180318817959
"2444",1995,"CNOOC","State-owned Entity","Oil & NGL",141.25285714,"Million bbl/yr",56.3285172978815
"2445",1995,"CNOOC","State-owned Entity","Natural Gas",81.03,"Bcf/yr",5.9063083310202
"2446",1996,"CNOOC","State-owned Entity","Oil & NGL",160.5,"Million bbl/yr",64.003852448446
"2447",1996,"CNOOC","State-owned Entity","Natural Gas",180.86,"Bcf/yr",13.1829560008431
"2448",1997,"CNOOC","State-owned Entity","Oil & NGL",187,"Million bbl/yr",74.5714667156348
"2449",1997,"CNOOC","State-owned Entity","Natural Gas",284.62,"Bcf/yr",20.746062904788
"2450",1998,"CNOOC","State-owned Entity","Oil & NGL",191.4,"Million bbl/yr",76.3260894618851
"2451",1998,"CNOOC","State-owned Entity","Natural Gas",290,"Bcf/yr",21.1382132049347
"2452",1999,"CNOOC","State-owned Entity","Oil & NGL",200.1,"Million bbl/yr",79.795457164698
"2453",1999,"CNOOC","State-owned Entity","Natural Gas",256.47,"Bcf/yr",18.6941984161021
"2454",2000,"CNOOC","State-owned Entity","Oil & NGL",150.69,"Million bbl/yr",60.0918412801017
"2455",2000,"CNOOC","State-owned Entity","Natural Gas",172.28,"Bcf/yr",12.5575564515384
"2456",2001,"CNOOC","State-owned Entity","Oil & NGL",167.085,"Million bbl/yr",66.6298048993682
"2457",2001,"CNOOC","State-owned Entity","Natural Gas",178.85,"Bcf/yr",13.0364463162158
"2458",2002,"CNOOC","State-owned Entity","Oil & NGL",218,"Million bbl/yr",86.9335815187615
"2459",2002,"CNOOC","State-owned Entity","Natural Gas",201.335,"Bcf/yr",14.6753867435018
"2460",2003,"CNOOC","State-owned Entity","Oil & NGL",190.6,"Million bbl/yr",76.007067144385
"2461",2003,"CNOOC","State-owned Entity","Natural Gas",216.795,"Bcf/yr",15.8022721784959
"2462",2004,"CNOOC","State-owned Entity","Oil & NGL",189.673,"Million bbl/yr",75.6374000339818
"2463",2004,"CNOOC","State-owned Entity","Natural Gas",241.305,"Bcf/yr",17.5888156462647
"2464",2005,"CNOOC","State-owned Entity","Oil & NGL",306.5371,"Million bbl/yr",122.240220052178
"2465",2005,"CNOOC","State-owned Entity","Natural Gas",344.25710901,"Bcf/yr",25.0930350605787
"2466",2006,"CNOOC","State-owned Entity","Oil & NGL",198.7498,"Million bbl/yr",79.2570272483373
"2467",2006,"CNOOC","State-owned Entity","Natural Gas",266.085,"Bcf/yr",19.3950395194312
"2468",2007,"CNOOC","State-owned Entity","Oil & NGL",214.045855,"Million bbl/yr",85.3567558917225
"2469",2007,"CNOOC","State-owned Entity","Natural Gas",290.029,"Bcf/yr",21.1403270262552
"2470",2008,"CNOOC","State-owned Entity","Oil & NGL",231.58082,"Million bbl/yr",92.3493123562001
"2471",2008,"CNOOC","State-owned Entity","Natural Gas",309.5565,"Bcf/yr",22.5636941240461
"2472",2009,"CNOOC","State-owned Entity","Oil & NGL",260.71804,"Million bbl/yr",103.968591668586
"2473",2009,"CNOOC","State-owned Entity","Natural Gas",321.7475,"Bcf/yr",23.4523008729473
"2474",2010,"CNOOC","State-owned Entity","Oil & NGL",331.34262,"Million bbl/yr",132.13211314867
"2475",2010,"CNOOC","State-owned Entity","Natural Gas",442.234,"Bcf/yr",32.2346088912796
"2476",2011,"CNOOC","State-owned Entity","Oil & NGL",316.959795,"Million bbl/yr",126.396560444048
"2477",2011,"CNOOC","State-owned Entity","Natural Gas",459.973,"Bcf/yr",33.5276115259084
"2478",2012,"CNOOC","State-owned Entity","Oil & NGL",331.837925,"Million bbl/yr",132.329629834881
"2479",2012,"CNOOC","State-owned Entity","Natural Gas",426.9405,"Bcf/yr",31.1198597062808
"2480",2013,"CNOOC","State-owned Entity","Oil & NGL",333.100095,"Million bbl/yr",132.83295533298
"2481",2013,"CNOOC","State-owned Entity","Natural Gas",465.156,"Bcf/yr",33.9054024191538
"2482",2014,"CNOOC","State-owned Entity","Oil & NGL",348.811155,"Million bbl/yr",139.098178797458
